id,name,gender,birth_date,permission
111222333,John Smith,Male,1985-03-12,Manager
222333444,Jane Doe,Female,1992-07-23,Employee
333444555,David Lee,Male,1988-12-05,Employee
444555666,Samantha Jones,Female,1991-06-15,Employee
555666777,Michael Chen,Male,1987-09-22,Manager
666777888,Stephanie Kim,Female,1990-04-08,Employee
777888999,Robert Brown,Male,1989-11-11,Employee
888999000,Emily Davis,Female,1993-02-28,Employee
999000111,William Johnson,Male,1986-08-03,Manager
123456789,Lauren Baker,Female,1994-01-19,Employee
234567890,Andrew Lee,Male,1995-05-29,Employee
345678901,Karen Wu,Female,1984-10-07,Employee
456789012,James Kim,Male,1992-03-17,Employee
567890123,Alexa Hernandez,Female,1987-06-11,Employee
678901234,Thomas Nguyen,Male,1991-12-29,Manager
789012345,Melissa Brown,Female,1989-04-01,Employee
890123456,Jonathan Kim,Male,1993-08-14,Employee
901234567,Ashley Davis,Female,1986-11-27,Employee
123405678,Chris Lee,Male,1990-02-09,Employee
345678912,Katie Johnson,Female,1994-07-30,Employee
